Electricity.Timestep;Time;HH1 - Living room - Living Room Light (Energy Saving Lamp, 20W) [kWh];HH1 - Kitchen - Kitchen Light (20W) [kWh];HH1 - Bath - Bathroom Light (20W) [kWh];HH1 - Bath - Bathroom Mirror Light 10 W (LED) [kWh];HH1 - Bedroom - Bedroom Light (20W) [kWh];HH1 - Children's room 2 - Children Room Light Device (20W) [kWh];HH1 - Children's room - Children Room Light Device (20W) [kWh];HH1 - Kitchen - Egg Cooker / Russell Hobbs 14048-56 Stylo [kWh];HH1 - Kitchen - Juicer / Moulinex Vitafruit [kWh];HH1 - Kitchen - Kitchen radio / AEG KRC 4323 CD [kWh];HH1 - Kitchen - Single Stove Plate [kWh];HH1 - Kitchen - Nespresso Coffee Machine, Single Cup [kWh];HH1 - Kitchen - Food Slicer / DOMO Schneidemaschine DO521S [kWh];HH1 - Kitchen - Toaster Salco MT 400 [kWh];HH1 - Kitchen - Miele DG 1450 [kWh];HH1 - Kitchen - Handmixer / Phillips Robust HR 1581 [kWh];HH1 - Kitchen - Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right- full power [kWh];HH1 - Kitchen - Microwave Panasonic (1991) [kWh];HH1 - Kitchen - Extractor Hood / Miele DA 429-4 [kWh];HH1 - Kitchen - Miele DA 61 [kWh];HH1 - Kitchen - Deep Fryer / DeLonghi F 28311.W Rotofritteuse [kWh];HH1 - Kitchen - Ricecooker / Tristar RK-6112 [kWh];HH1 - Kitchen - Steam Cooker / Phillips HD9140 [kWh];HH1 - Kitchen - Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [kWh];HH1 - Kitchen - Immersion Blender Noah Hit Top [kWh];HH1 - Kitchen - Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power [kWh];HH1 - Kitchen - Fondue / Unold 48746 Asia [kWh];HH1 - Living room - Laptop Sony Vaio SVE151G11M [kWh];HH1 - Living room - CD/DVD Player / Philips DVDR 725 H [kWh];HH1 - Living room - Home Cinema System / Samsung HT-D5550 [kWh];HH1 - Living room - TV Medion MD20123_DE_A [kWh];HH1 - Living room - SAT Receiver / Kathrein UFS913 [kWh];HH1 - Living room - Digitalpiano / Kawai CN-23 [kWh];HH1 - Living room - Hifi System / Sharp XL-HF300PH [kWh];HH1 - Kitchen - Electric Kettle / Petra WK288 1.5L [kWh];HH1 - Living room - Energy Saving Lamp / EL-REF 11 E27 [kWh];HH1 - Kitchen - Vacuum Cleaner FiF [kWh];HH1 - Living room - Nintendo Wii [kWh];HH1 - Kitchen - Dishwasher NEFF SD6P1F (2011) [kWh];HH1 - Kitchen - Dryer / Miele T 8626 WP [kWh];HH1 - Kitchen - Washing Machine AEG Öko Plus 1400 [kWh];HH1 - Bath - Hair Dryer Braun Silencio 1250 [kWh];HH1 - Kitchen - Siemens Kl 20 LA 65 (A+) [kWh];HH1 - Kitchen - Kitchen radio / AEG KRC 4323 CD [kWh];HH1 - Kitchen - Freezer Liebherr Premium no Frost 2358 (2011) [kWh];HH1 - Kitchen - Microwave Panasonic (1991) [kWh];HH1 - Living room - Laptop Sony Vaio SVE151G11M [kWh];HH1 - Bath - Electric Razor Braun Cruzer 5 [kWh];HH1 - Bath - Electric Toothbrush Dondodent Professional Clean [kWh];HH1 - Living room - Phone Siemens Gigaset C320 [kWh];HH1 - Living room - Router O2 Box 6431 [kWh];HH1 - Living room - CD/DVD Player / Philips DVDR 725 H [kWh];HH1 - Living room - Home Cinema System / Samsung HT-D5550 [kWh];HH1 - Living room - SAT Receiver / Kathrein UFS913 [kWh];HH1 - Living room - TV Medion MD20123_DE_A [kWh];HH1 - Living room - Hifi System / Sharp XL-HF300PH [kWh];HH1 - Living room - Yamaha RX-V667 [kWh];HH1 - Living room - Nintendo Wii [kWh];House - Cellar - Circulation Pump / Grundfos Alpha Pro 25-40 180 [kWh];House - Cellar - Circulation Pump / Grundfos Alpha Pro 25-40 180 [kWh]
600;01.12.2023 10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.010709948099999998;0.0013255776398853477;0.018524324174590164;0.01300999999999999;0.0027856663445923226;0.0009541284300546449;0.00021711115491803272;0.0027788318259562837;0.006407879144808744;0.0010893154855708723;0.0020536532009113304;0.0013420485671628059;0.00027812950992553616;0.0030315437249405016;0.011939787322643624;0.0019518745248269522;0.024521629896338444;0.025263641382305177
660;01.12.2023 11:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0094443981;0.0013683788878430488;0.026511300278142077;0.01300999999999999;0.0027805219371267414;0.000950582458743169;0.00022786014398907094;0.002777881470765027;0.006408232013661202;0.0010704179078734669;0.0020340625939169027;0.0013556852415403618;0.00029087977613997105;0.002930471505933146;0.012263682131106568;0.001959405354609494;0.02481147884705387;0.025178497603440927
720;01.12.2023 12:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0107035021;0.0013640441416802778;0.01469694696830601;0.01300999999999999;0.0027741768927396753;0.0009473661090163931;0.00022314371229508178;0.0027807117677595625;0.006407962549180328;0.0010753741833957264;0.0021204256298926766;0.0013508227727169594;0.00027817796982819703;0.0029920052348307627;0.011919148180191654;0.0019464937645072714;0.02542633852232283;0.025391712363968727
780;01.12.2023 13:00;0.011666666666666665;0;0.0016666666666666663;0.0008333333333333332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0094443981;0.0013506450466435839;0.014200300167213109;0.01300999999999999;0.0027751724415242115;0.0009526504491803277;0.00021718082076502734;0.0027781106838797825;0.006407391199453552;0.0010829951862131825;0.0020973151192048064;0.0013485162701158918;0.0002748688096152087;0.0029207066300721597;0.01222439316578485;0.0019348320432531977;0.0248373227605811;0.024795845757500514
840;01.12.2023 14:00;0.019999999999999997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007562608130198489;0.015348152015662976;0.008383728850763349;0;0;0;0;0;0;0;0;0;0;0.0094443981;0.0013371359680896368;0.020059212983606557;0.01300999999999999;0.0027956188959624485;0.0009555127330601093;0.00022299457786885242;0.0027780269270491803;0.006413481450819672;0.0010755879878288199;0.0009400147592230492;0.000615667051862948;0.0001266269347955331;0.002987143055153704;0.01216562994388163;0.001958903633820899;0.02504882208352843;0.025186493402971313
900;01.12.2023 15:00;0.019999999999999997;0;0.0016666666666666663;0.0008333333333333332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007572516081272819;0;0.014230585304852795;0.027215151746368623;0.015058578236603126;0;0;0;0;0;0;0;0;0;0;0.0081852941;0.0013353302497306103;0.021882072096448088;0.01300999999999999;0.001681049118785582;0.0009493758592896173;0.00022529568688524573;0.002778831825956284;0.006407659467213114;0.001071068166419161;0;0;0;0.0029917125060521764;0.01179067822991739;0.0019772132884601015;0.025152070524470327;0.025233875194058317
960;01.12.2023 16:00;0.019999999999999997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.017650067384947784;0;0.006127259162145901;0.010881551342411344;0.006404620041751527;0;0;0;0;0;0;0;0;0;0;0.006789026683333333;0.0013529431418486157;0.017120511154644802;0.01300999999999999;0.00010072493546933354;0.0009478187715846991;0.00021836569726775958;0.002780133207650274;0.0064128426502732235;0.0010845459650115558;0.0011982798485983446;0.0007809213795086225;0.00016653866376471679;0.003029199949632788;0.012057731200562718;0.001991603595686727;0.025654672232390024;0.025005046154875636
1020;01.12.2023 17:00;0.008666666666666665;0.004333333333333332;0.011666666666666665;0.005833333333333333;0;0;0.013666666666666664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3258513788992016;0;0;0.0081852941;0.0013620230819357529;0.01645126857923497;0.01300999999999999;0.0028401977791444153;0.0009512259912568304;0.0002200908038251366;0.00277770605464481;0.006407712106557377;0.001089150840919634;0.002110243143025426;0.0013728482660338537;0.00027696103311534537;0.003038800777826613;0.011848008663930733;0.0019509497666197653;0.024664786774125362;0.024680152461860186
1080;01.12.2023 18:00;0;0.0009999999999999998;0.019999999999999997;0.009999999999999998;0.012666666666666665;0.015666666666666666;0.004333333333333332;0;0;0;0.07250230162841531;0;0;0;0;0;0;0;0.013074552247884993;0;0;0;0;0;0.003615800722604166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8485979845486943;0;0.08447054849842703;0.0094443981;0.0013474583637663614;0.016818325461475405;0.01300999999999999;0.002797314014724765;0.0009540061207650274;0.00022400224972677585;0.002778831825956285;0.006407540008196721;0.00107114518370665;0.0021151492598006616;0.0013478849022232303;0.000277332369986819;0.002976233953697334;0.01183337680797748;0.0019591424909594034;0.02506971830774988;0.025322907389536065
1140;01.12.2023 19:00;0.013999999999999999;0.019999999999999997;0.00033333333333333327;0.00016666666666666663;0.019999999999999997;0.008666666666666665;0;0;0;0;0.4440449919392622;0;0;0;0;0;0;0;0.10177408472136835;0;0;0;0;0;0;0;0;0.013223036257262828;0;0;0;0;0;0;0;0;0;0;0;0.322361554398576;0.3931649037677592;0;0.010708343016666665;0.0013425629982891998;0.01635820073032786;0.01300999999999999;0.0008859673623891306;0.0009530536718579235;0.00022315898797814192;0.002777280388797815;0.006412899401639345;0.0010938265745379454;0.0020864721478907884;0.001288406457483174;0.0002726287897348484;0.002985624800271051;0.011823572392950012;0.001957500577884561;0.025081361105352043;0.025607285987603708
1200;01.12.2023 20:00;0.019999999999999997;0.001333333333333333;0.0016666666666666663;0.0008333333333333332;0.01633333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.019342551336869136;0;0;0;0;0;0;0;0;0;0;0;0;0.08267677039617483;0;0.0094443981;0.00135823230539833;0.01644620781830601;0.01300999999999999;0;0.0009499181234972675;0.00021890495573770498;0.0027782152513661207;0.006413387040983606;0.001111357676055353;0.002146935229098239;0.0013792777008824783;0.0002796761763162826;0.0029724481806625343;0.012058614554133535;0.0019552229020859363;0.025520935027412248;0.02446614457510024
1260;01.12.2023 21:00;0.019999999999999997;0;0;0;0.019999999999999997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.011204311661692397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0094443981;0.0013706011403577989;0.02091601434863388;0.01300999999999999;0.0011808688485124615;0.000948047607650273;0.0002225600396174863;0.0027761252439890706;0.006407582437158471;0.0010589001122211625;0.002110311456247774;0.001406648073523616;0.00028387698398308616;0.003023651300817191;0.011868722540750944;0.0019773802339875506;0.025079883274852024;0.02485036969555463
1320;01.12.2023 22:00;0.012333333333333332;0;0;0;0.015999999999999997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0107035021;0.0013537147762882036;0.023007080923224045;0.01300999999999999;0.0027588173690291733;0.0009530574838797815;0.00022211275491803258;0.0027776180327868842;0.006413074918032787;0.0010810384264663487;0.002119028879808281;0.001332412581617716;0.0002804161306749866;0.0030288421142415463;0.011664369888719765;0.001973310663306716;0.02527250792623794;0.022943384258849592
1380;01.12.2023 23:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.012044075766666665;0.0013668626556050732;0.017397800710655737;0.01300999999999999;0.002877559469424962;0.0009532520428961749;0.0002144619893442623;0.002780396204918033;0.006407813592896175;0.001077538371011069;0.0020234953387954315;0.0013600358411041547;0.0002797507722503439;0.002999431129877806;0.012111720453114745;0.0019429095715646047;0.025293104433286837;0
1440;02.12.2023 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008185294099999999;0.001352420928182569;0.014691564169125678;0.01300999999999999;0.0028289131275208634;0.0009522645434426227;0.00022390276666666662;0.002779072639344263;0.006412959740437157;0.001085196215146583;0.0020704313747155305;0.0013479980312481473;0.0002798800028702867;0.0030426268824780608;0.011905264694999458;0.0020013547656904025;0.025066973503494898;0
1500;02.12.2023 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.009444398099999998;0.0013155430107148448;0.015070538740710375;0.01300999999999999;0.002826430240551055;0.0009464773538251363;0.00022561947650273206;0.002777316325136612;0.0064130812404371565;0.0010775177880726918;0.0021160337322270535;0.0013656429103220268;0.0002811571112316312;0.00300509915973846;0.012069024398807691;0.0019872193046928926;0.0255696647582155;0
1560;02.12.2023 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.010709948099999997;0.001327770660235205;0.02711452674726776;0.01300999999999999;0.0028184117588970457;0.000952481280874317;0.00021785235136612027;0.0027761650601092897;0.006407620841530056;0.0010665693240937467;0.0021043452327280205;0.0013491444428389383;0.000275201588787958;0.0030314946167413195;0.011975286184896707;0.0019742964639678255;0.02538262714094283;0
1620;02.12.2023 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0077943605166666645;0.0013382103602396942;0.013955093703005461;0.01300999999999999;0.0027669894923294663;0.000954003031693989;0.0002179611931693989;0.002779150282240438;0.0064081195737704915;0.0011019323548474476;0.0021108175392140164;0.001335123103316069;0.00028168603371571513;0.0029732166974335054;0.01205752373812717;0.0019570511537849804;0.024685817648476563;0
1680;02.12.2023 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0029712813333333324;0.001360099338510177;0.015041278829234976;0.01300999999999999;0.0028825769137291062;0.0009458364407103821;0.00022701026830601086;0.0027769389972677598;0.00641286993715847;0.0010786835488313246;0.002042831443085353;0.001366009873582512;0.0002876129188358611;0.003058882831040891;0.011773441898692198;0.0019815782087702185;0.025168774025620098;0
1740;02.12.2023 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0094443981;0.0013708406836575604;0.02105834641065574;0.01300999999999999;0.0027863415318673986;0.0009491657404371581;0.00022209563497267747;0.002778831825956285;0.006412944407103824;0.0011017215216305174;0.002122906866206735;0.0013867436184896796;0.0002827926259146646;0.0030988978779293015;0.012140027892248854;0.0019465788054715692;0.02521631469648132;0
1800;02.12.2023 06:00;0;0;0.005333333333333332;0.002666666666666666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0081852941;0.0013520935183371796;0.02170044188661202;0.01300999999999999;0.002823857260019941;0.0009560567248633881;0.00021502575710382517;0.0027799184398907104;0.006413017387978141;0.001109899504364565;0.0020794214283406864;0.0013156831675238357;0.0002836223530961713;0.003049449460793289;0.012146096829240335;0.0019437772322954735;0.02500447808403818;0.024281770334253674
1860;02.12.2023 07:00;0.008666666666666665;0.018;0.008666666666666665;0.004333333333333332;0;0;0.019999999999999997;0.038011627447290086;0.03747188171365452;0.0134424634706621;0.48982432635456274;0.01733321960819673;0.004505028548841445;0.055289221932513635;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008272559984463523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0094554457;0.000133736298815293;0.014311417817213115;0.01300999999999999;0.001576561491434942;0.0009549036398907104;0.00022514062841530048;0.0027764094945355194;0.006410415098360655;0.0010665656075638382;0.0020896238637417896;0.0013635076161495091;0.000282619151532418;0.002981110482049475;0.01199777977741527;0.0019562454372480022;0.024891284011441927;0.024595754376964245
1920;02.12.2023 08:00;0.019999999999999997;0.012666666666666665;0.007999999999999998;0.003999999999999999;0;0;0.019999999999999997;0;0;0.0019661920433198922;0.23821665907040976;0;0;0.055289221932513635;0;0;0;0;0;0;0;0;0;0;0;0;0;0.019200298185555062;0;0;0;0;0;0;0.1757964645452458;0;0;0;0.09189234505273232;0.019545986204688986;0;0;0.0081742465;0.0011813430705986665;0.01411621615136612;0.01300999999999999;0;0.0009449394232240435;0.00022380364344262284;0.002774733839617486;0.006407625666666666;0.0010592965349386933;0.002150426391103608;0.0013711922890452441;0.00028616002486295874;0.002961818407605035;0.011976983896690593;0.001962152086548677;0.025000685672808252;0.024805643080169318
1980;02.12.2023 09:00;0.016999999999999998;0.005666666666666666;0.0016666666666666663;0.0008333333333333332;0;0;0;0.04026792288482417;0.03225964240538639;0.0022352106098542544;0.35302322875956293;0.01733321960819673;0.005044275257636424;0.013452244336885247;0;0;0;0;0;0;0;0;0;0;0;0;0;0.014951978840567304;0;0;0;0;0.049496572876812785;0;0;0;0;0;0.7790150305191252;0.9298152380849779;0;0;0.011065731433333332;0.0011504177578686185;0.02653184840737705;0.01300999999999999;0.0005353263561199128;0.0009560617942622953;0.0002210930423497267;0.002779595021857923;0.006413636177595628;0.0010835397680641135;0.0020395964614722327;0.0013490887871800794;0.00028971229494433834;0.0029927759779427594;0.011954108550889745;0.0019490655428553271;0.025472702614225556;0.025355016018217377
